0	1	5000	52.106750
0	2	5000	41.115200
1	2	5000	41.234720
0	5	5000	8.902816
1	5	5000	16.298048
2	5	5000	18.975072
3	5	5000	22.779904
4	5	5000	15.932160
0	8	5000	17.818400
1	8	5000	24.470784
2	8	5000	29.056352
3	8	5000	20.015872
4	8	5000	30.411072
5	8	5000	24.029216
6	8	5000	23.303552
7	8	5000	23.311392
0	10	5000	25.798432
1	10	5000	26.920672
2	10	5000	19.659456
3	10	5000	14.530976
4	10	5000	21.367392
5	10	5000	21.959040
6	10	5000	25.210240
7	10	5000	26.334752
8	10	5000	20.972608
9	10	5000	21.938400
